data_hora_analise,total_de_skus,total_sku_com_mais_de_um_ano_de_vendas,percentual_sku_com_mais_de_um_ano_de_vendas,total_sku_com_ate_um_ano_de_vendas,percentual_sku_com_ate_um_ano_de_vendas,total_sku_com_estoque_zero,percentual_sku_com_estoque_zero,total_sku_com_estoque_positivo,percentual_sku_com_estoque_positivo,custo_total_estoque_positivo,total_sku_com_estoque_negativo,percentual_sku_com_estoque_negativo,custo_total_estoque_negativo,total_sku_inativo_com_estoque_maior_que_zero,percentual_sku_inativo_com_estoque_maior_que_zero,custo_total_inativo_com_estoque_maior_que_zero,total_sku_inativo_com_estoque_menor_ou_igual_zero,percentual_sku_inativo_com_estoque_menor_ou_igual_zero,total_sku_ativo_com_estoque_maior_que_zero,percentual_sku_ativo_com_estoque_maior_que_zero,custo_total_ativo_com_estoque_maior_que_zero,total_sku_ativo_com_estoque_menor_ou_igual_zero,percentual_sku_ativo_com_estoque_menor_ou_igual_zero,total_sku_nao_comercializado_com_estoque_maior_que_zero,percentual_sku_nao_comercializado_com_estoque_maior_que_zero,custo_total_nao_comercializado_com_estoque_maior_que_zero,total_sku_nao_comercializado_com_estoque_menor_ou_igual_zero,percentual_sku_nao_comercializado_com_estoque_menor_ou_igual_zero,total_sku_verificados,total_sku_consistentes,percentual_sku_consistentes,total_sku_inconsistentes,percentual_sku_inconsistentes,total_sku_grupo_a,total_sku_grupo_b,total_sku_grupo_c,percentual_sku_grupo_a,percentual_sku_grupo_b,percentual_sku_grupo_c,total_venda_grupo_a,total_venda_grupo_b,total_venda_grupo_c,percentual_venda_grupo_a,percentual_venda_grupo_b,percentual_venda_grupo_c,cobertura_em_dias_grupo_a,cobertura_em_dias_grupo_b,cobertura_em_dias_grupo_c
2025-06-06 09:20:19,2557,1459,57.0590535784122,424,16.58193195150567,1726,67.50097770825185,800,31.286664059444664,321587.31,31,1.2123582323034807,2291.09,63,2.4638247946812672,4417.34,495,19.358623386781385,714,27.92334767305436,315833.72000000003,611,23.89518967540086,23,0.899491591709034,1336.25,651,25.459522878373093,2557,2522,98.6312084473993,35,1.3687915526006975,140,213,475,16.908212560386474,25.724637681159415,57.367149758454104,1014669.66,190591.43,63799.09,79.95441634611844,15.01831300072783,5.027270653153737,33.369237790963034,53.42155533645551,80.45873216543254
2025-06-08 14:14:44,2557,1466,57.33281188893235,417,16.30817364098553,1728,67.57919436840048,806,31.5213140398905,332720.87000000005,23,0.899491591709034,2466.6699999999996,62,2.4247164646069614,3175.2900000000004,494,19.31951505670708,721,28.1971059835745,328141.68999999994,606,23.699648025029333,23,0.899491591709034,1403.89,651,25.459522878373093,2557,2510,98.16190848650764,47,1.8380915134923723,143,212,482,17.084826762246117,25.328554360812426,57.58661887694145,1056131.2199999995,197997.3,66152.97,79.99288242691337,14.99659743014348,5.010520142943155,33.38160276452197,48.8713726548792,74.82549053655148
2025-06-09 09:42:26,2557,1466,57.33281188893235,417,16.30817364098553,1728,67.57919436840048,806,31.5213140398905,332386.99000000005,23,0.899491591709034,2466.6699999999996,62,2.4247164646069614,3175.2900000000004,494,19.31951505670708,721,28.1971059835745,327807.81,606,23.699648025029333,23,0.899491591709034,1403.89,651,25.459522878373093,2557,2523,98.6703167774736,34,1.3296832225263984,143,212,480,17.12574850299401,25.389221556886227,57.48502994011976,1047767.05,196574.31,65609.69,79.98520631744216,15.0062332481813,5.0085604343765375,33.632276499673296,49.193684039176325,75.4047639975389
2025-06-10 20:38:59,2566,1467,57.17069368667186,419,16.32891660171473,1740,67.80982073265783,806,31.410756040530007,331843.7,20,0.779423226812159,1003.53,62,2.416212003117693,3175.2900000000004,494,19.251753702260327,721,28.098207326578333,327264.52,609,23.733437256430243,23,0.8963367108339828,1403.89,657,25.604053000779427,2566,2532,98.67498051441932,34,1.3250194855806685,143,213,485,17.00356718192628,25.326991676575503,57.66944114149821,1039545.12,195349.87,65032.969999999994,79.96944076808687,15.027745845238991,5.002813386674135,33.333495755898376,48.555205390132585,73.49869224062772
2025-06-11 08:56:56,2566,1467,57.17069368667186,419,16.32891660171473,1740,67.80982073265783,806,31.410756040530007,331843.7,20,0.779423226812159,1003.53,62,2.416212003117693,3175.2900000000004,494,19.251753702260327,721,28.098207326578333,327264.52,609,23.733437256430243,23,0.8963367108339828,1403.89,657,25.604053000779427,2566,2532,98.67498051441932,34,1.3250194855806685,142,211,482,17.005988023952096,25.269461077844312,57.7245508982036,1028168.37,193023.87,64536.22,79.96776939976891,15.01280215886331,5.019428441367784,33.59658337833194,50.51639320954303,73.38330317911606
2025-06-12 10:58:49,2567,1468,57.18737826256331,418,16.283599532528243,1750,68.17296455005844,801,31.20373977405532,321900.23,16,0.6232956758862486,1381.64,62,2.415270744059213,3175.2900000000004,494,19.24425399298792,716,27.89248149590962,317321.05,614,23.91897156213479,23,0.8959875340864824,1403.89,658,25.63303467082197,2567,2533,98.67549668874172,34,1.324503311258269,142,211,481,17.026378896882495,25.29976019184652,57.67386091127098,1026889.55,192776.6,64423.619999999995,79.97023058598154,15.012704290915735,5.017065123102725,32.944801325465804,48.244322365067674,73.62502166002426
2025-06-13 09:48:49,2568,1474,57.398753894081,412,16.043613707165107,1751,68.18535825545172,797,31.035825545171345,319427.62000000005,20,0.778816199376947,1426.7900000000002,63,2.453271028037383,5615.29,495,19.27570093457944,711,27.686915887850468,312408.44,617,24.02647975077882,23,0.895638629283489,1403.89,659,25.661993769470403,2568,2533,98.63707165109037,35,1.362928348909648,142,212,480,17.026378896882495,25.41966426858513,57.55395683453237,1039823.03,196075.25,65321.92,79.91138087158501,15.06856794876071,5.020051179654296,33.49476515224282,46.27959697732997,71.56598790150805
2025-06-14 08:35:03,2571,1476,57.4095682613769,413,16.06378840917931,1755,68.26137689614936,791,30.76623881758071,315778.55,25,0.972384286269934,1667.65,63,2.4504084014002334,5615.29,497,19.330999611046284,705,27.421236872812138,308759.37,624,24.27071178529755,23,0.8945935433683392,1403.89,659,25.632049786075456,2571,2537,98.67755737067289,34,1.3224426293271137,143,213,482,17.064439140811455,25.41766109785203,57.51789976133651,1047371.93,196533.15,65569.51999999999,79.98413485836228,15.008549994020504,5.00731514761722,32.788825983597945,46.216149068322984,71.79670661263903
2025-06-16 09:51:14,2571,1476,57.4095682613769,413,16.06378840917931,1755,68.26137689614936,791,30.76623881758071,315778.55,25,0.972384286269934,1667.65,63,2.4504084014002334,5615.29,497,19.330999611046284,705,27.421236872812138,308759.37,624,24.27071178529755,23,0.8945935433683392,1403.89,659,25.632049786075456,2571,2536,98.6386619992221,35,1.3613380007779057,144,213,476,17.286914765906364,25.570228091236498,57.14285714285714,1023168.67,192613.68,63997.47,79.9488047873735,15.05053267678498,5.000662535841518,34.95854922279793,47.67791332171528,73.47818375310393
2025-06-17 08:56:11,2574,1480,57.4980574980575,410,15.92851592851593,1756,68.22066822066823,792,30.76923076923077,344310.05,26,1.0101010101010102,3743.06,63,2.4475524475524475,5615.29,499,19.386169386169385,706,27.42812742812743,337290.87000000005,622,24.164724164724163,23,0.8935508935508936,1403.89,661,25.67987567987568,2574,2539,98.64024864024864,35,1.3597513597513569,143,211,478,17.1875,25.360576923076923,57.45192307692307,1029679.13,193098.26999999996,64794.89,79.970587903845,14.997081833750864,5.032330262404141,34.9590569327881,46.43108644826906,74.42367872044507
