nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total_loja
Bibi Cell Vieiralves,2660.0,3656.9,3605.0,0.0,2107.0,3028.9,5520.0,4095.0,3942.0,4031.0,0.0,2451.0,6106.0,3388.9,13266.0,7349.0,2763.0,0.0,3206.0,7997.0,7043.9,1906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88122.6
total,2660.0,3656.9,3605.0,0.0,2107.0,3028.9,5520.0,4095.0,3942.0,4031.0,0.0,2451.0,6106.0,3388.9,13266.0,7349.0,2763.0,0.0,3206.0,7997.0,7043.9,1906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88122.6
