ano,ano_obj,total_customers,returning_customers,new_customers,retention_rate,new_rate,returning_rate
2020,2020,1028,29,999,7.8590785907859075,97.17898832684824,2.821011673151751
2021,2021,1013,58,955,5.642023346303502,94.27443237907205,5.725567620927937
2022,2022,1171,122,1049,12.043435340572557,89.58155422715627,10.418445772843723
2023,2023,937,99,838,8.454312553373185,89.43436499466382,10.56563500533618
2024,2024,803,80,723,8.537886872998932,90.0373599003736,9.9626400996264
2025,2025,366,53,313,6.60024906600249,85.51912568306011,14.48087431693989
